Character table of Sysmmetric Group (n=12)
77X77	[12]	[11 1]	[10 2]	[10 1 1]	[9 3]	[9 2 1]	[9 1 1 1]	[8 4]	[8 3 1]	[8 2 2]	[8 2 1 1]	[8 1 1 1 1]	[7 5]	[7 4 1]	[7 3 2]	[7 3 1 1]	[7 2 2 1]	[7 2 1 1 1]	[7 1 1 1 1 1]	[6 6]	[6 5 1]	[6 4 2]	[6 4 1 1]	[6 3 3]	[6 3 2 1]	[6 3 1 1 1]	[6 2 2 2]	[6 2 2 1 1]	[6 2 1 1 1 1]	[6 1 1 1 1 1 1]	[5 5 2]	[5 5 1 1]	[5 4 3]	[5 4 2 1]	[5 4 1 1 1]	[5 3 3 1]	[5 3 2 2]	[5 3 2 1 1]	[5 3 1 1 1 1]	[5 2 2 2 1]	[5 2 2 1 1 1]	[5 2 1 1 1 1 1]	[5 1 1 1 1 1 1 1]	[4 4 4]	[4 4 3 1]	[4 4 2 2]	[4 4 2 1 1]	[4 4 1 1 1 1]	[4 3 3 2]	[4 3 3 1 1]	[4 3 2 2 1]	[4 3 2 1 1 1]	[4 3 1 1 1 1 1]	[4 2 2 2 2]	[4 2 2 2 1 1]	[4 2 2 1 1 1 1]	[4 2 1 1 1 1 1 1]	[4 1 1 1 1 1 1 1 1]	[3 3 3 3]	[3 3 3 2 1]	[3 3 3 1 1 1]	[3 3 2 2 2]	[3 3 2 2 1 1]	[3 3 2 1 1 1 1]	[3 3 1 1 1 1 1 1]	[3 2 2 2 2 1]	[3 2 2 2 1 1 1]	[3 2 2 1 1 1 1 1]	[3 2 1 1 1 1 1 1 1]	[3 1 1 1 1 1 1 1 1 1]	[2 2 2 2 2 2]	[2 2 2 2 2 1 1]	[2 2 2 2 1 1 1 1]	[2 2 2 1 1 1 1 1 1]	[2 2 1 1 1 1 1 1 1 1]	[2 1 1 1 1 1 1 1 1 1 1]	[1 1 1 1 1 1 1 1 1 1 1 1]	
[12]	1	-1	0	1	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	-1	
[11 1]	1	0	-1	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	1	
[10 2]	1	-1	1	0	-1	0	0	0	1	-1	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	-1	1	-1	1	
[10 1 1]	1	1	-1	0	-1	0	0	0	1	1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	1	1	-1	-1	
[9 3]	1	-1	0	1	1	-1	0	-1	0	1	0	0	0	1	-1	0	0	0	0	0	0	0	-1	0	1	0	-1	0	0	0	0	0	0	0	1	0	0	-1	0	1	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	-1	1	0	1	0	-1	1	0	0	-1	1	0	-1	1	
[9 2 1]	1	0	0	-1	0	1	0	-1	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	-1	0	-1	1	0	0	1	0	0	0	-1	
[9 1 1 1]	1	2	0	1	-2	-1	0	-1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	-1	0	-2	0	-1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	-1	0	0	0	-2	0	0	-1	0	0	0	0	0	0	0	0	2	1	0	1	0	-1	1	0	0	-1	-2	0	2	1	
[8 4]	1	-1	0	1	0	0	-1	1	-1	0	1	0	-1	0	1	0	-1	0	0	0	1	-1	0	0	0	0	1	0	0	0	0	-1	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	1	0	0	1	0	-1	-1	0	0	1	-1	0	0	0	0	-1	1	0	1	0	-1	0	1	0	-1	1	0	0	-1	1	
[8 3 1]	1	0	-1	0	1	0	1	0	0	0	-1	0	-1	0	0	0	1	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	-1	1	0	0	1	-1	0	0	1	0	0	0	0	-1	0	0	0	0	0	1	0	-1	1	0	-1	
[8 2 2]	1	-1	2	-1	-2	0	1	1	1	0	-1	0	-1	0	-1	0	1	0	0	0	1	-1	0	2	0	0	-1	0	0	0	0	-1	0	1	0	-2	1	0	0	0	0	0	0	0	0	0	-1	1	0	2	-1	0	-1	1	0	0	1	-1	0	0	-2	0	1	1	0	-1	0	-1	0	1	0	1	-1	2	-2	1	-1	
[8 2 1 1]	1	1	0	-1	0	0	-1	-1	1	0	1	0	-1	0	-1	0	-1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	-1	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	-1	0	-1	-1	0	0	1	-1	0	0	0	0	1	-1	0	1	0	1	0	-1	0	-1	-1	0	0	1	1	
[8 1 1 1 1]	1	3	2	3	-2	0	1	-3	-3	0	-1	0	-1	0	3	0	1	0	0	0	1	3	0	2	0	0	-1	0	0	0	0	-1	0	-3	0	-2	-3	0	0	0	0	0	0	0	0	0	3	1	0	2	3	0	-1	1	0	0	1	-1	0	0	-2	0	-3	-3	0	-1	0	3	0	-3	0	1	3	2	-2	-3	-1	
[7 5]	1	-1	0	1	0	0	-1	0	0	0	0	1	1	-1	0	1	0	-1	0	-1	0	1	0	0	-1	0	0	1	0	0	-1	1	0	0	-1	0	1	0	1	-1	0	-1	1	0	0	-1	1	0	0	0	0	-1	0	1	0	1	0	-1	0	0	0	-1	1	0	0	0	-1	0	0	1	-1	1	0	0	0	-1	1	
[7 4 1]	1	0	-1	0	0	1	0	1	-1	0	0	-1	0	0	0	0	0	1	0	-1	0	0	0	1	0	0	0	-1	0	0	0	1	-1	0	-1	0	0	0	1	1	0	-1	1	0	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	1	-1	0	0	0	0	0	0	1	-1	0	1	0	-1	0	1	0	-1	
[7 3 2]	1	-1	1	0	0	-1	1	-1	1	0	0	-1	1	0	0	-1	0	1	0	-1	0	0	0	-1	1	0	0	-1	0	0	-1	1	1	0	-1	0	-1	0	1	1	0	-1	1	0	-1	0	1	0	1	0	0	-1	0	-1	0	1	0	-1	0	-1	1	1	0	0	0	0	0	-1	1	0	1	-1	1	0	-1	1	-1	
[7 3 1 1]	1	1	-1	0	0	-1	1	1	1	0	0	1	-1	0	0	-1	0	-1	0	-1	0	0	0	-1	1	0	0	1	0	0	1	1	-1	0	-1	0	-1	0	1	-1	0	-1	1	0	1	0	-1	0	1	0	0	1	0	1	0	-1	0	1	0	-1	-1	1	0	0	0	0	0	1	-1	0	-1	-1	1	0	-1	1	1	
[7 2 2 1]	1	0	1	-2	0	1	0	-1	-1	0	0	1	0	2	0	0	0	-1	0	-1	0	-2	0	1	0	0	0	1	0	0	0	1	1	0	-1	0	0	0	1	-1	0	-1	1	0	-1	2	0	0	-1	0	0	0	0	1	0	0	0	0	0	1	1	0	-2	0	0	0	2	-1	1	-2	-1	0	-1	0	1	0	1	
[7 2 1 1 1]	1	2	1	0	0	-1	-2	-1	1	0	0	-1	-2	0	0	2	0	1	0	-1	0	0	0	-1	-2	0	0	-1	0	0	2	1	1	0	-1	0	2	0	1	1	0	-1	1	0	-1	0	-2	0	1	0	0	2	0	-1	0	-2	0	2	0	-1	1	-2	0	0	0	0	0	-1	1	0	1	2	1	0	-1	-2	-1	
[7 1 1 1 1 1]	1	4	5	6	0	5	4	-5	-5	0	0	1	-4	-6	0	-4	0	-1	0	-1	0	6	0	5	4	0	0	1	0	0	4	1	5	0	-1	0	-4	0	1	-1	0	-1	1	0	-5	-6	-4	0	-5	0	0	4	0	1	0	-4	0	4	0	5	5	4	6	0	0	0	-6	-5	5	6	-1	-4	-5	0	5	4	1	
[6 6]	1	-1	0	1	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	-1	2	-2	0	2	0	0	-2	0	0	2	-1	2	0	0	-2	0	0	0	2	0	0	-2	0	1	0	0	2	0	0	0	0	-2	0	0	0	2	0	0	-1	0	0	0	2	0	0	0	-2	0	0	0	1	2	0	0	0	0	-1	1	
[6 5 1]	1	0	-1	0	0	1	0	0	0	0	-1	0	1	-1	0	1	0	0	1	1	-1	0	1	0	0	-1	0	0	0	-1	0	0	1	0	0	-1	0	0	0	0	1	0	0	0	-1	0	0	0	1	1	0	0	0	0	-1	-1	1	0	0	-1	0	0	0	0	0	1	1	0	-1	0	-1	-1	0	0	1	0	-1	
[6 4 2]	1	-1	1	0	-1	0	0	1	0	-1	1	-1	-1	0	1	-1	0	0	1	2	-1	0	1	-1	0	0	0	0	0	-1	1	0	0	-1	0	1	0	0	0	0	0	0	1	-1	1	0	0	0	-1	-1	1	0	0	0	-1	1	-1	0	1	0	1	-1	0	-1	1	1	0	0	0	0	-2	1	-1	1	-1	1	-1	
[6 4 1 1]	1	1	-1	0	-1	0	0	1	0	1	1	-1	1	0	-1	-1	0	0	-1	0	-1	0	1	1	0	0	0	0	2	-1	-1	0	0	1	0	1	0	-2	0	0	0	0	-1	-1	-1	0	0	0	-1	1	1	0	0	0	1	-1	1	0	-1	0	1	-1	0	-1	1	-1	0	0	0	0	0	1	1	-1	-1	1	1	
[6 3 3]	1	-1	0	1	2	-2	1	-2	0	2	0	-1	0	2	-2	0	0	0	1	2	-2	0	0	2	0	0	0	0	0	-1	2	0	-2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-2	2	-2	-2	0	2	-2	2	-2	0	2	-1	-2	0	2	-2	0	1	-1	
